x area density velocity temperature pressure mach mass_flow
0 5.95 1 0.098858 1 1 0.098858 0.588205 
0.1 5.312 0.998081 0.111995 0.999254 0.997392 0.112037 0.593774 
0.2 4.718 0.997054 0.125132 0.99882 0.995876 0.125206 0.588633 
0.3 4.168 0.994249 0.142786 0.997719 0.992039 0.142949 0.591708 
0.4 3.662 0.991748 0.162072 0.99669 0.988464 0.162341 0.58861 
0.5 3.2 0.987209 0.186775 0.994889 0.982227 0.187254 0.590036 
0.6 2.782 0.981901 0.215313 0.992721 0.974754 0.216101 0.588161 
0.7 2.408 0.973581 0.250999 0.989378 0.963316 0.252343 0.588438 
0.8 2.078 0.962567 0.293514 0.984861 0.948009 0.295761 0.58709 
0.9 1.792 0.946316 0.345989 0.97822 0.925823 0.34982 0.586728 
1 1.55 0.923868 0.409065 0.968859 0.895185 0.415587 0.585779 
1.1 1.352 0.891996 0.485306 0.955435 0.852518 0.496495 0.585269 
1.2 1.198 0.848725 0.575015 0.936663 0.795319 0.594139 0.58466 
1.3 1.088 0.791434 0.678422 0.911041 0.721743 0.710774 0.584176 
1.4 1.022 0.720344 0.792927 0.877541 0.633047 0.846446 0.583746 
1.5 1 0.637877 0.914388 0.836203 0.534676 0.999942 0.583267 
1.6 1.022 0.550191 1.03692 0.788295 0.434921 1.16789 0.583054 
1.7 1.088 0.464059 1.1546 0.736565 0.342956 1.34533 0.582955 
1.8 1.198 0.385466 1.26343 0.683682 0.264234 1.528 0.583436 
1.9 1.352 0.317605 1.36022 0.632652 0.201408 1.71013 0.584083 
2 1.55 0.261153 1.44552 0.584613 0.152771 1.89055 0.585125 
2.1 1.792 0.215442 1.51843 0.54118 0.1166 2.06406 0.586221 
2.2 2.078 0.17862 1.58208 0.501677 0.0894304 2.23365 0.587223 
2.3 2.408 0.149434 1.63559 0.467043 0.0696225 2.39329 0.588546 
2.4 2.782 0.125785 1.68306 0.43562 0.0545606 2.55003 0.58896 
2.5 3.2 0.107173 1.72254 0.408517 0.0435748 2.69504 0.590754 
2.6 3.662 0.0916044 1.75868 0.383506 0.0349302 2.83988 0.589958 
2.7 4.168 0.0795577 1.78831 0.362275 0.0286176 2.97114 0.592996 
2.8 4.718 0.0688322 1.81657 0.342046 0.0234044 3.10606 0.589932 
2.9 5.312 0.0609747 1.83925 0.325308 0.0196351 3.22472 0.595727 
3 5.95 0.0531171 1.86192 0.30857 0.0163207 3.35185 0.588454 
